Obs Date,Year,Month,Latitude,Longitude,Common Name,Sex,Carcass Condition,Dead Animal Internal Exam (Partial or Complete),Country,State/Province,County,Field Number,Field14
7/9/2020,2020,Jul,44.378524,-68.099928,"Whale, humpback",Unk,Mummified/Skeletal Remains,No,USA,ME,Hancock,COA200709Mn,
7/16/2020,2020,Jul,41.404131,-70.188958,"Whale, humpback",Unk,Moderate Decomposition,No,USA,MA,EEZ,NMFSGAR07162020Mn,
7/17/2020,2020,Jul,41.0573,-71.805,"Whale, humpback",Unk,Moderate Decomposition,No,USA,NY,Suffolk,AMCS101Mn2020,
7/18/2020,2020,Jul,40.7342,-72.8576,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,NY,Suffolk,AMCS104Mn2020,
7/25/2020,2020,Jul,40.950239,-71.61673,"Whale, humpback",Unk,Moderate Decomposition,No,USA,NY,EEZ,NMFSGAR07252020Mn,
7/27/2020,2020,Jul,41.2452,-70.127,"Whale, humpback",Female,Advanced Decomposition,No,USA,MA,Nantucket,MMAN20-169,
8/5/2020,2020,Aug,41.28362,-70.23483,"Whale, humpback",Unk,Advanced Decomposition,No,USA,MA,Nantucket,MMAN20-174_NMFSGAR08082020Mn,
9/14/2020,2020,Sep,40.900156,-70.216776,"Whale, humpback",Unk,Unknown,No,USA,MA ,EEZ,NMFSGAR09142020Mn,
9/16/2020,2020,Sep,39.316604,-74.457123,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,NJ,Atlantic,MMSC-20-144_AMCS140Mn2020 ,
10/27/2020,2020,Oct,40.718,-72.9123,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,NY,Suffolk,AMCS163Mn2020,
11/4/2020,2020,Nov,39.001394,-74.706667,"Whale, humpback",Female,Moderate Decomposition,No,USA,NJ,EEZ,MMSC-20-156,
11/7/2020,2020,Nov,41.65578,-69.979175,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,MA,Barnstable,IFAW20-251Mn,
