,OBJECTID,NatlDBNum,ConfCode,SpeciesID,ComName,Genus,Species,County,State,WaterBody,LatAcc,LongAcc,ObsDay,ObsStatus,SpeciesCategory,x,y,spatialReference,Date,lat,lon,Year,Carcass Condition,Country,Field Number,Month,Sex
275,1082.0,NE-2019-1219235,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,cape may,NJ,Atlantic Ocean,estimate,estimate,6.0,Moderate Decomposition,Humpback Whale,-8310080.694348693,4749850.255104885,102100.0,2019-JUN-06,39.196448000000025,-74.65072499999995,20190606,,,,,
276,1890.0,NE-2019-1213152,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,suffolk,NY,Atlantic Ocean,actual,actual,7.0,Alive,Humpback Whale,-8022012.012256039,5008382.101272804,102100.0,2019-JUL-07,40.97315000000003,-72.06295999999998,20190707,,,,,
277,1017.0,NE-2019-1219574,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,suffolk,NY,Atlantic Ocean,actual,actual,15.0,Alive,Humpback Whale,-8042274.3859702265,5000763.924813199,102100.0,2019-JUL-15,40.92146000000002,-72.24497999999993,20190715,,,,,
278,1247.0,NE-2019-1218663,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,suffolk,NY,Atlantic Ocean,actual,actual,25.0,Advanced Decomposition,Humpback Whale,-7988175.339834513,5011604.192959782,102100.0,2019-JUL-25,40.99500000000006,-71.75899999999996,20190725,,,,,
279,1247.0,NE-2019-1218663,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,suffolk,NY,Atlantic Ocean,actual,actual,25.0,Advanced Decomposition,Humpback Whale,-7988175.339834513,5011604.192959782,102100.0,2019-JUL-25,40.99500000000006,-71.75899999999996,20190725,,,,,
280,1857.0,NE-2019-1213834,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,cape may,NJ,Atlantic Ocean,actual,actual,26.0,Alive,Humpback Whale,-8305141.225903213,4739221.383788292,102100.0,2019-JUL-26,39.122413000000044,-74.60635299999994,20190726,,,,,
281,1784.0,NE-2019-1214701,Confirmed - Medium Report,7.0,"Whale, humpback",Megaptera,novaeangliae,worcester,MD,Atlantic Ocean,estimate,estimate,6.0,Alive,Humpback Whale,-8354409.971278488,4638274.458424759,102100.0,2019-AUG-06,38.41539444000006,-75.04894166999998,20190806,,,,,
282,1251.0,NE-2019-1218659,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,suffolk,NY,Atlantic Ocean,actual,actual,9.0,Moderate Decomposition,Humpback Whale,-8093249.807194283,4961513.287553304,102100.0,2019-AUG-09,40.65450000000004,-72.70289999999994,20190809,,,,,
283,1251.0,NE-2019-1218659,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,suffolk,NY,Atlantic Ocean,actual,actual,9.0,Moderate Decomposition,Humpback Whale,-8093249.807194283,4961513.287553304,102100.0,2019-AUG-09,40.65450000000004,-72.70289999999994,20190809,,,,,
284,1183.0,NE-2019-1218934,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,monmouth,NJ,Atlantic Ocean,estimate,estimate,10.0,Moderate Decomposition,Humpback Whale,-8235975.977244552,4931641.249021576,102100.0,2019-AUG-10,40.45060900000004,-73.98503099999992,20190810,,,,,
285,1601.0,NE-2019-1216970,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,suffolk,NY,Atlantic Ocean,actual,actual,30.0,Moderate Decomposition,Humpback Whale,-8198602.57328104,4950879.431659581,102100.0,2019-SEP-30,40.58199000000006,-73.64929999999997,20190930,,,,,
286,1178.0,NE-2019-1218939,Confirmed - Medium Report,7.0,"Whale, humpback",Megaptera,novaeangliae,cumberland,NJ,,estimate,estimate,2.0,Fresh Dead,Humpback Whale,-8373359.368334203,4744762.19049445,102100.0,2019-OCT-02,39.16101700000007,-75.21916699999996,20191002,,,,,
287,1067.0,NE-2019-1219273,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,kent,DE,,estimate,estimate,4.0,Moderate Decomposition,Humpback Whale,-8394528.550620396,4741494.808042476,102100.0,2019-OCT-04,39.138255000000065,-75.40933299999995,20191004,,,,,
288,1591.0,NE-2019-1217370,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,ocean,NJ,Atlantic Ocean,actual,actual,9.0,Moderate Decomposition,Humpback Whale,-8248212.994908987,4833024.22131095,102100.0,2019-OCT-09,39.77309900000006,-74.09495799999995,20191009,,,,,
289,621.0,NE-2019-1226890,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,ocean,NJ,Atlantic Ocean,actual,actual,18.0,Moderate Decomposition,Humpback Whale,-8246477.4127280265,4850752.553874719,102100.0,2019-OCT-18,39.89539200000007,-74.07936699999992,20191018,,,,,
290,1507.0,NE-2019-1218053,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,ocean,NJ,Atlantic Ocean,actual,actual,26.0,Alive,Humpback Whale,-8241237.159018429,4850982.82267443,102100.0,2019-OCT-26,39.896979000000044,-74.03229299999997,20191026,,,,,
291,867.0,NE-2019-1220192,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,virginia beach,VA,Atlantic Ocean,estimate,estimate,29.0,Moderate Decomposition,Humpback Whale,-8458363.822059872,4422807.957585758,102100.0,2019-OCT-29,36.88297800000004,-75.98277499999995,20191029,,,,,
