ObjectID,Obs Date,Year,Month,Latitude,Longitude,Common Name,Sex,Carcass Condition,Country,State/Province,County,Field Number
74,"May 18, 2018",2018,May,40.583583,-73.67485,"Whale, humpback",Female,Moderate Decomposition,USA,NY,Nassau,AMCS69Mn2018
75,"May 22, 2018",2018,May,40.316861,-73.816917,"Whale, humpback",Male,Moderate Decomposition,USA,NJ,Monmouth,MMSC-18-130
76,"May 22, 2018",2018,May,41.01247,-70.42068,"Whale, humpback",Unk,Unknown,USA,MA,EEZ,NMFSGARFO052218Mn
77,"May 27, 2018",2018,May,40.6484,-73.134,"Whale, humpback",Female,Advanced Decomposition,USA,NY,Suffolk,AMCS73Mn2018
78,"May 31, 2018",2018,May,37.73515147,-75.56317,"Whale, humpback",Unk,Mummified/Skeletal Remains,USA,VA,Accomack,VAQS20181049
79,"June 1, 2018",2018,Jun,40.556721,-73.902662,"Whale, humpback",Male,Advanced Decomposition,USA,NY,Queens,AMCS76Mn2018
80,"June 14, 2018",2018,Jun,40.59333,-73.736,"Whale, humpback",Male,Moderate Decomposition,USA,NY,Nassau,AMCS83Mn2018
81,"July 26, 2018",2018,Jul,40.9972,-72.0386,"Whale, humpback",Female,Advanced Decomposition,USA,NY,Suffolk,AMCS123Mn2018
82,"August 28, 2018",2018,Aug,40.637101,-73.185207,"Whale, humpback",Male,Advanced Decomposition,USA,NY,Suffolk,AMCS139Mn2018
83,"September 7, 2018",2018,Sep,42.25906,-70.80637,"Whale, humpback",Male,Moderate Decomposition,USA,MA,Norfolk,SSC-18-173Mn
84,"September 17, 2018",2018,Sep,42.5605556,-70.9266666666666,"Whale, humpback",Female,Moderate Decomposition,USA,MA,Essex,NEAQ-18-109Mn_NMFSGARFO091718Mn             
85,"September 29, 2018",2018,Sep,44.121,-68.3681,"Whale, humpback",Unk,Advanced Decomposition,USA,ME,Hancock,COA180929Mn
86,"December 16, 2018",2018,Dec,38.8051042,-75.094573,"Whale, humpback",Female,Moderate Decomposition,USA,DE,Sussex,MERR-ST1730Mn
