Obs_Date,Year,Month,lat,lon,ComName,Carcass Condition,State,County
11/04/2008,2008,Nov,38.2083000000001,-75.1471999999999,"Whale, humpback",Moderate Decomposition,MD,Worcester
03/07/2009,2009,Mar,38.14518,-75.17267,"Whale, humpback",Moderate Decomposition,MD,Worcester
03/07/2009,2009,Mar,38.14518,-75.17267,"Whale, humpback",Moderate Decomposition,MD,Worcester
03/20/2009,2009,Mar,37.99426,-75.26852,"Whale, humpback",Advanced Decomposition,VA,Accomack
03/27/2009,2009,Mar,40.8475,-72.4637,"Whale, humpback",Mummified/Skeletal,NY,Suffolk
04/09/2009,2009,Apr,40.5584000000001,-73.9922999999999,"Whale, humpback",Alive,NY,New York
04/17/2009,2009,Apr,36.6783,-75.1967,"Whale, humpback",Moderate Decomposition,VA,Eez
06/14/2009,2009,Jun,41.4736,-71.1623,"Whale, humpback",Moderate Decomposition,RI,Newport
07/20/2009,2009,Jul,43.8115000000001,-69.0083,"Whale, humpback",Advanced Decomposition,ME,Eez
07/27/2009,2009,Jul,40.3340230000001,-73.973266,"Whale, humpback",Moderate Decomposition,NJ,Monmouth
08/17/2009,2009,Aug,41.7083000000001,-69.4512999999999,"Whale, humpback",Moderate Decomposition,MA,Eez
08/21/2009,2009,Aug,41.4690000000001,-71.196,"Whale, humpback",Advanced Decomposition,RI,Newport
08/27/2009,2009,Aug,41.4960000000001,-69.025,"Whale, humpback",Moderate Decomposition,MA,Eez
09/13/2009,2009,Sep,42.2700000000001,-70.68,"Whale, humpback",Condition Unknown,MA,Norfolk
09/26/2009,2009,Sep,37.26494,-76.41495,"Whale, humpback",Moderate Decomposition,VA,Gloucester
09/27/2009,2009,Sep,41.3507000000001,-70.492,"Whale, humpback",Alive,MA,Dukes
01/14/2010,2010,Jan,42.095,-68.003,"Whale, humpback",Advanced Decomposition,MA,Eez
03/13/2010,2010,Mar,38.3244140000001,-75.0851939999999,"Whale, humpback",Moderate Decomposition,MD,Worcester
04/06/2010,2010,Apr,40.9454000000001,-72.187,"Whale, humpback",Alive,NY,Suffolk
05/05/2010,2010,May,37.1967930000001,-76.0404829999999,"Whale, humpback",Alive,VA,Northampton
05/21/2010,2010,May,39.556,-71.708,"Whale, humpback",Moderate Decomposition,NY,Eez
05/28/2010,2010,May,41.3504080000001,-70.588939,"Whale, humpback",Advanced Decomposition,MA,Dukes
06/10/2010,2010,Jun,40.5997,-73.4714999999999,"Whale, humpback",Moderate Decomposition,NY,Nassau
07/01/2010,2010,Jul,42.0916,-67.6915999999999,"Whale, humpback",Condition Unknown,MA,Eez
07/04/2010,2010,Jul,38.336533,-75.0809999999999,"Whale, humpback",Moderate Decomposition,MD,Worcester
08/26/2010,2010,Aug,41.6365000000001,-69.6595999999999,"Whale, humpback",Moderate Decomposition,MA,Eez
08/26/2010,2010,Aug,41.6365000000001,-69.6595999999999,"Whale, humpback",Moderate Decomposition,MA,Eez
09/09/2010,2010,Sep,42.1650300000001,-70.301483,"Whale, humpback",Moderate Decomposition,MA,Barnstable
11/02/2010,2010,Nov,40.2443000000001,-73.90183,"Whale, humpback",Moderate Decomposition,NJ,Eez
01/14/2011,2011,Jan,41.3500000000001,-68.7599999999999,"Whale, humpback",Moderate Decomposition,MA,Eez
04/15/2011,2011,Apr,36.700633,-75.919667,"Whale, humpback",Alive,VA,Virginia Beach (City)
05/28/2011,2011,May,39.811788,-74.089717,"Whale, humpback",Advanced Decomposition,NJ,Ocean
07/02/2011,2011,Jul,42.0811600000001,-70.3183299999999,"Whale, humpback",Alive,MA,Unknown
07/10/2011,2011,Jul,41.4853000000001,-69.7884999999999,"Whale, humpback",Moderate Decomposition,MA,Unknown
07/15/2011,2011,Jul,41.2730020000001,-70.234254,"Whale, humpback",Moderate Decomposition,MA,Nantucket
05/20/2012,2012,May,43.0099900000001,-67.8292999999999,"Whale, humpback",Moderate Decomposition,MA,Eez
05/20/2012,2012,May,43.0099900000001,-67.8292999999999,"Whale, humpback",Moderate Decomposition,MA,Eez
06/29/2012,2012,Jun,44.2333,-68.2352779999999,"Whale, humpback",Fresh Dead,ME,Hancock
07/20/2012,2012,Jul,41.3579990000001,-71.495075,"Whale, humpback",Condition Unknown,RI,Washington
07/20/2012,2012,Jul,41.3579990000001,-71.495075,"Whale, humpback",Condition Unknown,RI,Washington
08/01/2012,2012,Aug,43.9914830000001,-69.1170339999999,"Whale, humpback",Mummified/Skeletal,ME,Knox
08/10/2012,2012,Aug,41.3497000000001,-70.6,"Whale, humpback",Advanced Decomposition,MA,Dukes
08/24/2012,2012,Aug,44.1766700000001,-68.085278,"Whale, humpback",Advanced Decomposition,ME,Hancock
09/26/2012,2012,Sep,37.867626,-75.43333,"Whale, humpback",Alive,VA,Accomack
01/25/2013,2013,Jan,36.6460000000001,-75.386,"Whale, humpback",Moderate Decomposition,VA,Eez
04/03/2013,2013,Apr,36.9238100000001,-75.795833,"Whale, humpback",Moderate Decomposition,VA,Virginia Beach (City)
04/10/2013,2013,Apr,36.9751900000001,-75.09959,"Whale, humpback",Moderate Decomposition,VA,Eez
04/17/2013,2013,Apr,40.8210030000001,-72.548847,"Whale, humpback",Advanced Decomposition,NY,Suffolk
06/06/2013,2013,Jun,40.7010000000001,-70.042,"Whale, humpback",Advanced Decomposition,MA,Eez
09/13/2013,2013,Sep,37.2027780000001,-76.3813889999999,"Whale, humpback",Moderate Decomposition,VA,York
09/28/2013,2013,Sep,40.6271,-73.3595,"Whale, humpback",Alive,NY,Suffolk
10/01/2013,2013,Oct,41.5213000000001,-70.8074999999999,"Whale, humpback",Moderate Decomposition,MA,Barnstable
11/14/2013,2013,Nov,40.1412500000001,-73.9994999999999,"Whale, humpback",Alive,NJ,Monmouth
01/10/2014,2014,Jan,42.549,-69.516,"Whale, humpback",Moderate Decomposition,EZ,Unknown
05/03/2014,2014,May,39.146167,-72.9052,"Whale, humpback",Moderate Decomposition,NJ,Eez
09/03/2014,2014,Sep,39.6839670000001,-74.140017,"Whale, humpback",Alive,NJ,Ocean
12/25/2014,2014,Dec,44.2555560000001,-68.2124439999999,"Whale, humpback",Fresh Dead,ME,Hancock
03/20/2015,2015,Mar,41.9833300000001,-67.27333,"Whale, humpback",Moderate Decomposition,MA,Eez
04/14/2015,2015,Apr,40.7846000000001,-72.6775,"Whale, humpback",Moderate Decomposition,NY,Suffolk
04/20/2015,2015,Apr,40.7264000000001,-72.8833,"Whale, humpback",Moderate Decomposition,NY,Suffolk
05/01/2015,2015,May,37.39999,-75.69868,"Whale, humpback",Advanced Decomposition,VA,Northampton
05/29/2015,2015,May,37.05981,-74.921867,"Whale, humpback",Advanced Decomposition,VA,Eez
06/11/2015,2015,Jun,44.3361600000001,-68.17488,"Whale, humpback",Moderate Decomposition,ME,Hancock
06/29/2015,2015,Jun,40.6842,-73.0013999999999,"Whale, humpback",Moderate Decomposition,NY,Suffolk
10/06/2015,2015,Oct,41.0403000000001,-71.9045,"Whale, humpback",Advanced Decomposition,NY,Suffolk
1/15/2016,2016,Jan,36.921417,-75.667414,"Whale, humpback",Moderate Decomposition,VA,Virginia Beach
1/27/2016,2016,Jan,33.99518,-77.90637,"Whale, humpback",Fresh Dead,NC,New Hanover
2/17/2016,2016,Feb,33.21143,-79.18188,"Whale, humpback",Moderate Decomposition,SC,Georgetown
2/19/2016,2016,Feb,35.29202,-75.51358,"Whale, humpback",Moderate Decomposition,NC,Dare
3/16/2016,2016,Mar,41.20787,-71.55622,"Whale, humpback",Moderate Decomposition,RI,Washington
3/24/2016,2016,Mar,39.720539,-74.121103,"Whale, humpback",Moderate Decomposition,NJ,Ocean
4/23/2016,2016,Apr,41.465721,-71.302361,"Whale, humpback",Fresh Dead,RI,Newport
4/25/2016,2016,Apr,42.049393,-70.642831,"Whale, humpback",Moderate Decomposition,MA,Plymouth
4/26/2016,2016,Apr,40.9953,-72.0922,"Whale, humpback",Advanced Decomposition,NY,Suffolk
6/4/2016,2016,Jun,40.7997,-72.7265,"Whale, humpback",Advanced Decomposition,NY,Suffolk
6/17/2016,2016,Jun,38.56705,-75.05687,"Whale, humpback",Moderate Decomposition,DE,Sussex
6/24/2016,2016,Jun,40.8133,-72.5751,"Whale, humpback",Advanced Decomposition,NY,Suffolk
6/27/2016,2016,Jun,43.002,-70.7437,"Whale, humpback",Moderate Decomposition,NH,Rockingham
7/5/2016,2016,Jul,38.822233,-75.036667,"Whale, humpback",Fresh Dead,DE,Sussex
7/12/2016,2016,Jul,38.2531043,-75.1281681,"Whale, humpback",Advanced Decomposition,MD,Worcester
8/25/2016,2016,Aug,44.55568,-67.50043,"Whale, humpback",Advanced Decomposition,ME,Washington
9/12/2016,2016,Sep,41.350507,-70.574146,"Whale, humpback",Moderate Decomposition,MA,Dukes
9/16/2016,2016,Sep,39.169567,-74.678493,"Whale, humpback",Moderate Decomposition,NJ,Cape May
10/6/2016,2016,Oct,43.671849,-69.587925,"Whale, humpback",Advanced Decomposition,ME,Lincoln
10/27/2016,2016,Oct,33.84367,-77.96867,"Whale, humpback",Fresh Dead,NC,Brunswick
10/28/2016,2016,Oct,39.717316,-75.518067,"Whale, humpback",Moderate Decomposition,DE,New Castle
11/18/2016,2016,Nov,40.398667,-73.834333,"Whale, humpback",Moderate Decomposition,NJ,EEZ
11/23/2016,2016,Nov,40.7901,-72.7397,"Whale, humpback",Moderate Decomposition,NY,Suffolk
12/8/2016,2016,Dec,42.073416667,-70.12316667,"Whale, humpback",Moderate Decomposition,MA,Barnstable
12/11/2016,2016,Dec,37.643056,-76.123056,"Whale, humpback",Fresh Dead,VA,Northumberland
12/19/2016,2016,Dec,36.53208,-75.864238,"Whale, humpback",Moderate Decomposition,NC,Currituck
1/12/2017,2017,Jan,39.469517,-74.300101,"Whale, humpback",Fresh Dead,NJ,Atlantic
1/16/2017,2017,Jan,36.1187582,-75.7204116,"Whale, humpback",Advanced Decomposition,NC,Dare
1/24/2017,2017,Jan,37.29159,-76.01563,"Whale, humpback",Advanced Decomposition,VA,Northampton
1/26/2017,2017,Jan,34.71946,-76.44694,"Whale, humpback",Fresh Dead,NC,Carteret
2/2/2017,2017,Feb,36.9991,-76.318,"Whale, humpback",Moderate Decomposition,VA,Hampton
2/5/2017,2017,Feb,37.112983,-76.07425,"Whale, humpback",Moderate Decomposition,VA,Northampton
2/11/2017,2017,Feb,39.358997,-75.356589,"Whale, humpback",Moderate Decomposition,NJ,Cumberland
2/11/2017,2017,Feb,36.949316,-76.030037,"Whale, humpback",Moderate Decomposition,VA,Virginia Beach
2/17/2017,2017,Feb,35.983444,-75.166861,"Whale, humpback",Moderate Decomposition,NC,Dare
2/20/2017,2017,Feb,38.0706,-74.9735,"Whale, humpback",Moderate Decomposition,MD,Worcester
2/25/2017,2017,Feb,37.857323,-75.371567,"Whale, humpback",Advanced Decomposition,VA,Accomack
3/17/2017,2017,Mar,35.30663,-75.51,"Whale, humpback",Moderate Decomposition,NC,Dare
3/24/2017,2017,Mar,35.62302,-75.46765,"Whale, humpback",Advanced Decomposition,NC,Dare
4/1/2017,2017,Apr,35.48011,-75.47974,"Whale, humpback",Moderate Decomposition,NC,Dare
4/3/2017,2017,Apr,40.576225,-73.8362,"Whale, humpback",Moderate Decomposition,NY,Queens
