Obs Date,Year,Month,Latitude,Longitude,Common Name,Sex,Carcass Condition,Dead Animal Internal Exam (Partial or Complete),Country,State/Province,County,Field Number,F14,x,y
12/26/2017,2017,Dec,40.583436,-73.702792,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,NY,Nassau,AMCS154Mn2017,,-73.70279199999999,40.58343600000006
1/7/2018,2018,Jan,37.124171,-75.096376,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,VA,Northampton,VAQS20181002,,-75.09637599999996,37.12417100000005
1/22/2018,2018,Jan,36.696667,-75,"Whale, humpback",Unk,Moderate Decomposition,No,USA,VA,Virginia Beach,VAQS20181006,,-74.99999999999994,36.69666700000005
1/28/2018,2018,Jan,30.5997,-81.4422,"Whale, humpback",Male,Advanced Decomposition,Yes,USA,FL,Nassau,MnNEFL1802,,-81.44219999999996,30.59970000000004
2/5/2018,2018,Feb,34.60827,-76.52822,"Whale, humpback",Male,Advanced Decomposition,No,USA,NC,Carteret,CALO18-05,,-76.52821999999998,34.60827000000006
2/11/2018,2018,Feb,37.853154,-75.393012,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,VA,Accomack,VAQS20181007,,-75.39301199999994,37.853154000000075
2/12/2018,2018,Feb,40.54302,-73.93919,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,NY,Queens,AMCS06Mn2018,,-73.93918999999994,40.54302000000007
2/14/2018,2018,Feb,29.479739,-81.12652,"Whale, humpback",Unk,Mummified/Skeletal Remains,Yes,USA,FL,Flager,GACFS-18-05-Mn,,-81.12651999999997,29.479739000000052
2/24/2018,2018,Feb,30.87763,-80.89457,"Whale, humpback",Unk,Fresh Dead,No,USA,GA,EEZ,GA2018008,,-80.89456999999999,30.877630000000067
2/28/2018,2018,Feb,36.308458,-75.431021,"Whale, humpback",Female,Moderate Decomposition,No,USA,NC,Currituck,NCRU20180228Mn,,-75.43102099999999,36.30845800000003
2/28/2018,2018,Feb,39.391354,-72.9566171,"Whale, humpback",Unk,Unknown,No,USA,NY,EEZ,NMFSGAR022818Mn,,-72.95661709999996,39.391354000000035
3/1/2018,2018,Mar,42.1158333,-67.4336111111111,"Whale, humpback",Unk,Moderate Decomposition,No,USA,MA,EEZ,NMFSGAR030118Mn,,-67.43361111099995,42.11583330000008
4/17/2018,2018,Apr,44.77374,-67.024449,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,ME,Washington,COA180417Mn ,,-67.02444899999995,44.77374000000003
5/5/2018,2018,May,40.4674,-74.0104,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,NJ,Monmouth,MMSC-18-104_AMCS53Mn2018,,-74.01039999999995,40.467400000000055
5/18/2018,2018,May,40.583583,-73.67485,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,NY,Nassau,AMCS69Mn2018,,-73.67484999999994,40.58358300000003
5/22/2018,2018,May,40.316861,-73.816917,"Whale, humpback",Male,Moderate Decomposition,No,USA,NJ,Monmouth,MMSC-18-130,,-73.81691699999999,40.316861000000074
5/22/2018,2018,May,41.01247,-70.42068,"Whale, humpback",Unk,Unknown,No,USA,MA,EEZ,NMFSGARFO052218Mn,,-70.42067999999995,41.012470000000064
5/27/2018,2018,May,40.6484,-73.134,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,NY,Suffolk,AMCS73Mn2018,,-73.13399999999996,40.64840000000004
5/31/2018,2018,May,37.73515147,-75.56317,"Whale, humpback",Unk,Mummified/Skeletal Remains,Yes,USA,VA,Accomack,VAQS20181049,,-75.56316999999996,37.73515147000006
6/1/2018,2018,Jun,40.556721,-73.902662,"Whale, humpback",Male,Advanced Decomposition,Yes,USA,NY,Queens,AMCS76Mn2018,,-73.90266199999996,40.55672100000004
6/14/2018,2018,Jun,40.59333,-73.736,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,NY,Nassau,AMCS83Mn2018,,-73.73599999999993,40.59333000000004
7/26/2018,2018,Jul,40.9972,-72.0386,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,NY,Suffolk,AMCS123Mn2018,,-72.03859999999997,40.99720000000008
8/28/2018,2018,Aug,40.637101,-73.185207,"Whale, humpback",Male,Advanced Decomposition,Yes,USA,NY,Suffolk,AMCS139Mn2018,,-73.18520699999993,40.63710100000003
9/7/2018,2018,Sep,42.25906,-70.80637,"Whale, humpback",Male,Moderate Decomposition,No,USA,MA,Norfolk,SSC-18-173Mn,,-70.80636999999996,42.259060000000034
9/17/2018,2018,Sep,42.5605556,-70.9266666666666,"Whale, humpback",Female,Moderate Decomposition,No,USA,MA,Essex,NEAQ-18-109Mn_NMFSGARFO091718Mn             ,,-70.92666666699995,42.56055560000004
9/29/2018,2018,Sep,44.121,-68.3681,"Whale, humpback",Unk,Advanced Decomposition,No,USA,ME,Hancock,COA180929Mn,,-68.36809999999997,44.12100000000004
12/16/2018,2018,Dec,38.8051042,-75.094573,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,DE,Sussex,MERR-ST1730Mn,,-75.09457299999997,38.80510420000007
2/3/2019,2019,Feb,35.791975,-74.599389,"Whale, humpback",Unk,Moderate Decomposition,No,USA,NC,EEZ,NCUR20190203,,-74.59938899999997,35.791975000000036
2/12/2019,2019,Feb,35.8025,-75.5433,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,NC,Dare,CAHA451,,-75.54329999999999,35.802500000000066
2/17/2019,2019,Feb,36.2817651,-75.7934379,"Whale, humpback",Male,Fresh Dead,Yes,USA,NC,Currituck,KLC310,,-75.79343789999996,36.28176510000003
2/17/2019,2019,Feb,36.6583,-75.9041,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,VA,Virginia Beach,VAQS20191003,,-75.90409999999997,36.658300000000054
3/13/2019,2019,Mar,36.61778,-75.805,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,VA,Virginia Beach,VAQs20191009,,-75.80499999999995,36.61778000000004
3/15/2019,2019,Mar,37.4859,-75.497815,"Whale, humpback",Female,Moderate Decomposition,No,USA,VA,Accomack,VAQS20191011,,-75.49781499999995,37.48590000000007
3/17/2019,2019,Mar,36.333674,-75.811672,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,NC,Currituck,KLC319,,-75.81167199999999,36.33367400000003
3/24/2019,2019,Mar,31.90402,-80.2366,"Whale, humpback",Unk,Moderate Decomposition,No,USA,GA,EEZ,GA2019012,,-80.23659999999995,31.90402000000006
4/14/2019,2019,Apr,37.20105,-75.828477,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,VA,Northampton,VAQS20191024,,-75.82847699999996,37.201050000000066
5/2/2019,2019,May,36.85667,-74.541667,"Whale, humpback",Unk,Advanced Decomposition,No,USA,VA,Virginia Beach,VAQS20191045,,-74.54166699999996,36.856670000000065
5/4/2019,2019,May,42.29306,-70.45861,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,MA,Barnstable,IFAW19-287Mn,,-70.45860999999996,42.293060000000025
5/5/2019,2019,May,40.7676,-72.741,"Whale, humpback",Female,Fresh Dead,Yes,USA,NY,Suffolk,AMCS110Mn2019,,-72.74099999999999,40.76760000000007
5/29/2019,2019,May,42.503689,-70.065064,"Whale, humpback",Unk,Moderate Decomposition,No,USA,MA,EEZ,NMFSGAR05292019Mn,,-70.06506399999995,42.503689000000065
6/6/2019,2019,Jun,39.196448,-74.650725,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,DE,Cape May,MMSC-19-115,,-74.65072499999997,39.19644800000003
6/16/2019,2019,Jun,41.76666667,-66.81666667,"Whale, humpback",Unk,Unknown,No,USA,MA,EEZ,GARFO061619Mn,,-66.81666666999996,41.76666667000006
7/25/2019,2019,Jul,40.995,-71.759,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,NY,Suffolk,AMCS165Mn2019,,-71.75899999999996,40.99500000000006
8/9/2019,2019,Aug,40.6545,-72.7029,"Whale, humpback",Male,Advanced Decomposition,Yes,USA,NY,Suffolk,AMCS171Mn2019,,-72.70289999999994,40.65450000000004
8/10/2019,2019,Aug,40.33875,-73.92265,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,NJ,Monmouth,MMSC-19-147,,-73.92264999999998,40.33875000000006
8/26/2019,2019,Aug,42.2313889,-70.6191666666666,"Whale, humpback",Unk,Advanced Decomposition,No,USA,MA,Plymouth,NMFSGARFO082619Mn,,-70.61916666699994,42.23138890000007
9/30/2019,2019,Sep,40.58199,-73.6493,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,NY,Nassau,AMCS190Mn2019,,-73.64929999999998,40.581990000000076
10/4/2019,2019,Oct,39.138255,-75.409333,"Whale, humpback",Unk,Moderate Decomposition,No,USA,NJ,Cumberland,MMSC-19-172,,-75.40933299999995,39.13825500000007
10/9/2019,2019,Oct,39.773099,-74.094958,"Whale, humpback",Male,Moderate Decomposition,No,USA,NJ,Ocean,MMSC-19-177,,-74.09495799999996,39.77309900000006
10/18/2019,2019,Oct,39.895392,-74.079367,"Whale, humpback",Unk,Moderate Decomposition,No,USA,NJ,Ocean,MMSC-19-181,,-74.07936699999993,39.89539200000007
10/26/2019,2019,Oct,39.896979,-74.032293,"Whale, humpback",Unk,Fresh Dead,Yes,USA,NJ,Ocean,MMSC-19-185,,-74.03229299999998,39.896979000000044
10/29/2019,2019,Oct,36.882978,-75.982775,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,VA,Virginia Beach,VAQS20191101,,-75.98277499999995,36.88297800000004
11/14/2019,2019,Nov,40.8608,-72.4145,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,NY,Suffolk,AMCS207Mn2019,,-72.41449999999998,40.86080000000004
12/13/2019,2019,Dec,41.172667,-71.13225,"Whale, humpback",Male,Advanced Decomposition,Yes,USA,RI,Newport,SYMn19123,,-71.13224999999994,41.17266700000005
1/15/2020,2020,Jan,38.6175,-75.04694,"Whale, humpback",Unk,Unknown,No,USA,DE,Sussex,MERR-ST1843Mn,,-75.04693999999995,38.617500000000064
1/23/2020,2020,Jan,36.334,-75.8122,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,NC,Currituck,KLC333,,-75.81219999999996,36.33400000000006
1/28/2020,2020,Jan,37.662767,-76.153683,"Whale, humpback",Male,Moderate Decomposition,No,USA,VA,Accomack,VAQS20201002,,-76.15368299999994,37.66276700000003
2/4/2020,2020,Feb,37.087341,-75.940227,"Whale, humpback",Male,Moderate Decomposition,No,USA,VA,Northampton,VAQS20201004,,-75.94022699999994,37.08734100000004
2/5/2020,2020,Feb,37.385,-75.618,"Whale, humpback",Male,Moderate Decomposition,No,USA,VA,Northampton,VAQS20201005,,-75.61799999999994,37.38500000000005
2/8/2020,2020,Feb,41.92581,-70.06562,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,MA,Barnstable,IFAW20-009Mn,,-70.06561999999997,41.92581000000007
2/17/2020,2020,Feb,39.593,-72.41,"Whale, humpback",Unk,Moderate Decomposition,No,USA,NY,EEZ,NMFSGAR02172020Mn,,-72.40999999999997,39.593000000000075
3/5/2020,2020,Mar,35.9541,-75.621,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,NC,Dare,JPIER023,,-75.62099999999998,35.95410000000004
3/11/2020,2020,Mar,40.83361,-70.61722,"Whale, humpback",Unk,Moderate Decomposition,No,USA,MA,EEZ,NMFSGAR03112020Mn,,-70.61721999999997,40.83361000000008
3/31/2020,2020,Mar,40.5643,-73.8726,"Whale, humpback",Female,Moderate Decomposition,No,USA,NY,Queens,AMCS42Mn2020,,-73.87259999999998,40.56430000000006
4/9/2020,2020,Apr,33.9062,-78.09578,"Whale, humpback",Unk,Moderate Decomposition,No,USA,NC,Brunswick,WAM737,,-78.09577999999993,33.90620000000007
4/10/2020,2020,Apr,29.3088,-81.045611,"Whale, humpback",Male,Advanced Decomposition,Yes,USA,FL,Volusia,Hubbs-2014-Mn,,-81.04561099999995,29.308800000000076
4/30/2020,2020,Apr,40.513333,-73.980555,"Whale, humpback",Male,Moderate Decomposition,No,USA,NJ,Monmouth,MMSC-20-073,,-73.98055499999998,40.513333000000046
5/22/2020,2020,May,40.7654,-72.7488,"Whale, humpback",Male,Advanced Decomposition,Yes,USA,NY,Suffolk,AMCS76Mn2020,,-72.74879999999996,40.76540000000006
5/30/2020,2020,May,40.96814,-72.1249,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,NY,Suffolk,AMCS80Mn2020,,-72.12489999999997,40.96814000000006
7/9/2020,2020,Jul,44.378524,-68.099928,"Whale, humpback",Unk,Mummified/Skeletal Remains,No,USA,ME,Hancock,COA200709Mn,,-68.09992799999998,44.37852400000003
7/16/2020,2020,Jul,41.404131,-70.188958,"Whale, humpback",Unk,Moderate Decomposition,No,USA,MA,EEZ,NMFSGAR07162020Mn,,-70.18895799999996,41.40413100000006
7/17/2020,2020,Jul,41.0573,-71.805,"Whale, humpback",Unk,Moderate Decomposition,No,USA,NY,Suffolk,AMCS101Mn2020,,-71.80499999999995,41.057300000000055
7/18/2020,2020,Jul,40.7342,-72.8576,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,NY,Suffolk,AMCS104Mn2020,,-72.85759999999993,40.734200000000044
7/25/2020,2020,Jul,40.950239,-71.61673,"Whale, humpback",Unk,Moderate Decomposition,No,USA,NY,EEZ,NMFSGAR07252020Mn,,-71.61672999999996,40.95023900000007
7/27/2020,2020,Jul,41.2452,-70.127,"Whale, humpback",Female,Advanced Decomposition,No,USA,MA,Nantucket,MMAN20-169,,-70.12699999999995,41.24520000000007
8/5/2020,2020,Aug,41.28362,-70.23483,"Whale, humpback",Unk,Advanced Decomposition,No,USA,MA,Nantucket,MMAN20-174_NMFSGAR08082020Mn,,-70.23482999999999,41.28362000000004
9/14/2020,2020,Sep,40.9093,-70.22325,"Whale, humpback",Unk,Unknown,No,USA,MA ,EEZ,NMFSGAR09142020Mn,,-70.22324999999995,40.90930000000003
